[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 12:25:05 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 12:25:05 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 12:25:05 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:05 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 12:25:05 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 12:25:06 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:06 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:06 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 12:25:06 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 12:25:06 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:06 UTC] PHP Warning:  mysqli::mysqli(): (HY000/2054): Server sent charset unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
[19-Apr-2020 12:25:06 UTC] PHP Warning:  mysqli::query(): Couldn't fetch mysqli in /var/www/html/view/php/selectCT.php on line 11
[19-Apr-2020 12:25:06 UTC] PHP Fatal error:  Call to a member function fetch_assoc() on null in /var/www/html/view/php/selectCT.php on line 16
[19-Apr-2020 12:25:07 UTC] PHP Warning:  mysqli::mysqli(): Server sent charset (255) unknown to the client. Please, report to the developers in /var/www/html/view/php/selectCT.php on line 9
